event,station,time,phase,amplitude
197,V0508,2024-08-16 11:10:55.201111703,S,0.00014432417483887144
183,V0302,2024-08-16 11:10:49.783709893,S,6.789303175342999e-05
111,V0305,2024-08-16 11:10:23.784426360,P,0.0002818357388971263
214,V0808,2024-08-16 11:11:03.316302246,S,0.0007358154062542623
187,V0702,2024-08-16 11:10:52.371272177,S,3.3671984591763036e-05
201,V0805,2024-08-16 11:10:55.975192649,S,0.00018238146907214117
-1,V0504,2024-08-16 11:09:42.126835000,S,0.0005111123556778466
116,V0117,2024-08-16 11:10:25.224414927,P,9.942169663725307e-05
226,V0409,2024-08-16 11:11:07.781089976,P,0.00017137254292062446
178,V0408,2024-08-16 11:10:48.003951315,S,9.29716821399312e-05
57,V0807,2024-08-16 11:10:04.265893543,S,0.0005763823228267551
98,V0510,2024-08-16 11:10:19.259683311,P,4.941477058101307e-05
-1,V0104,2024-08-16 11:10:16.386142000,S,0.0001639794984720105
-1,V0702,2024-08-16 11:10:45.953027000,S,4.4723827261086496e-05
-1,V0509,2024-08-16 11:10:00.485179000,P,0.0004411949473862072
202,V0508,2024-08-16 11:10:56.393634772,P,0.0002932638305954024
265,V0805,2024-08-16 11:11:23.067560177,P,4.33032327934332e-05
105,V0505,2024-08-16 11:10:21.173850595,S,0.0001356075848536162
-1,V0502,2024-08-16 11:11:07.925859000,S,7.281271329296214e-05
277,V0509,2024-08-16 11:11:28.949770142,P,7.163983894023776e-05
142,V0408,2024-08-16 11:10:36.907696239,P,8.2590797660926e-05
180,V0808,2024-08-16 11:10:48.788559278,S,0.00044598026628316653
76,V0409,2024-08-16 11:10:12.925529432,P,7.370338849801412e-05
-1,V0802,2024-08-16 11:10:46.139852000,S,5.435280045277999e-05
51,V0308,2024-08-16 11:10:01.808597003,S,5.889815326264687e-05
34,V0410,2024-08-16 11:09:55.750344326,S,0.00031331775200946725
158,V0811,2024-08-16 11:10:41.147174836,P,4.628744569221574e-05
243,V0409,2024-08-16 11:11:14.149300149,P,0.0003705082083350469
202,V0505,2024-08-16 11:10:56.393633368,P,0.0001374811928570751
-1,V0704,2024-08-16 11:10:54.869737000,S,6.600695132208796e-05
258,V0505,2024-08-16 11:11:21.546821488,S,0.00017850694532500655
56,V0807,2024-08-16 11:10:03.261658166,S,0.000148552031009034
267,V0305,2024-08-16 11:11:24.550121686,S,9.116413938023793e-05
15,V0505,2024-08-16 11:09:47.435294664,P,0.0002456949873255816
240,V0504,2024-08-16 11:11:11.032019902,P,0.00025993419989864876
200,V0404,2024-08-16 11:10:55.551103091,S,6.7845772608906e-05
-1,V0404,2024-08-16 11:10:09.712664000,P,6.633957581049854e-05
105,V0302,2024-08-16 11:10:21.173846621,P,0.00014239268589175108
211,V0409,2024-08-16 11:11:02.799005644,P,3.358666049258143e-05
269,V0808,2024-08-16 11:11:26.515494990,P,0.00011168710365736095
237,V0504,2024-08-16 11:11:10.807986897,P,7.780934420804558e-05
-1,V0510,2024-08-16 11:10:01.092774000,P,5.211446005401212e-05
-1,V0703,2024-08-16 11:09:53.339341000,S,3.286709924739273e-05
-1,V0302,2024-08-16 11:11:13.346478000,S,0.0001334480953179776
297,V0409,2024-08-16 11:11:37.017080566,S,0.0007173104639274109
114,V0811,2024-08-16 11:10:24.897496604,P,3.888559414888736e-05
-1,V0407,2024-08-16 11:11:37.062620000,S,1.980627130675159e-05
-1,V0505,2024-08-16 11:10:06.338719000,S,0.0001890538167264008
204,V0703,2024-08-16 11:10:57.756424883,S,5.182633466013277e-05
-1,V0502,2024-08-16 11:10:30.930073000,S,2.7046776597900684e-05
270,V0302,2024-08-16 11:11:26.806588594,S,0.00037026520877805316
114,V0702,2024-08-16 11:10:24.897524368,S,7.241437343635134e-05
-1,V0704,2024-08-16 11:11:00.408473000,S,0.00014462710361046687
83,V0305,2024-08-16 11:10:15.338404360,S,0.0007817610773472421
-1,V0510,2024-08-16 11:09:40.441616000,P,0.0002207599688116928
-1,V0104,2024-08-16 11:11:26.624007000,S,0.0001512521167272874
55,V0308,2024-08-16 11:10:02.785186804,S,3.394407873213396e-05
2,V0812,2024-08-16 11:09:41.322423434,P,4.182738677228771e-05
113,V0409,2024-08-16 11:10:24.746802449,S,0.00014554879678366667
129,V0305,2024-08-16 11:10:31.033915759,S,0.000206489015059186
133,V0811,2024-08-16 11:10:32.775111076,P,6.825950060662661e-05
125,V0508,2024-08-16 11:10:29.927146768,P,0.00021580918288099563
-1,V0702,2024-08-16 11:11:20.212229000,P,0.00011025085508337852
-1,V0408,2024-08-16 11:10:04.171371000,S,0.0006540600803315801
-1,V0810,2024-08-16 11:10:17.162272000,P,0.00015524066570448645
129,V0403,2024-08-16 11:10:31.033932373,S,6.524819341495213e-05
-1,V0506,2024-08-16 11:10:19.829824000,P,1.981588448668728e-05
-1,V0506,2024-08-16 11:09:55.718559000,P,3.215577937215643e-05
-1,V0704,2024-08-16 11:11:28.293270000,S,5.8174059955211445e-05
212,V0307,2024-08-16 11:11:02.828259614,S,0.00019011569256460932
181,V0807,2024-08-16 11:10:48.997152039,S,4.2278036408857975e-05
-1,V0412,2024-08-16 11:11:07.133095000,P,0.00014122283169654932
51,V0408,2024-08-16 11:10:01.808593524,S,9.168695873487052e-05
225,V0505,2024-08-16 11:11:07.772274245,S,0.0007092515694111598
86,V0117,2024-08-16 11:10:16.288243517,S,0.00015659770622941552
26,V0504,2024-08-16 11:09:51.349542551,P,7.873959226378032e-05
-1,V0117,2024-08-16 11:09:54.496527000,S,5.252240997509076e-05
281,V0305,2024-08-16 11:11:30.171205588,S,8.00514758138399e-05
103,V0308,2024-08-16 11:10:20.370894218,P,4.106204598491252e-05
-1,V0805,2024-08-16 11:10:49.916901000,S,2.365563572123208e-05
244,V0808,2024-08-16 11:11:14.272492631,P,5.773384579353704e-05
283,V0307,2024-08-16 11:11:31.492906762,S,7.042616343695826e-05
-1,V0306,2024-08-16 11:10:40.583678000,P,0.00014857314974268645
-1,V0303,2024-08-16 11:10:57.134277000,P,0.00036878239746518436
288,V0807,2024-08-16 11:11:32.967236509,P,0.00011552077470746572
-1,V0307,2024-08-16 11:11:34.858326000,P,0.0004099035017801131
-1,V0510,2024-08-16 11:10:38.590506000,S,6.728199768311072e-05
2,V0412,2024-08-16 11:09:41.322419554,P,8.071520267957002e-05
-1,V0506,2024-08-16 11:09:44.320703000,P,0.0002498047747711233
184,V0506,2024-08-16 11:10:51.191227909,P,4.480863316169931e-05
16,V0809,2024-08-16 11:09:48.299098020,S,0.00013220048661259648
120,V0510,2024-08-16 11:10:26.828102356,P,6.83620870474725e-05
216,V0506,2024-08-16 11:11:04.075013135,S,0.000848727671122331
93,V0809,2024-08-16 11:10:18.640100106,P,8.461386767721206e-05
-1,V0410,2024-08-16 11:11:02.313875000,P,3.610069768915688e-05
60,V0417,2024-08-16 11:10:05.993487563,P,5.203141162705199e-05
147,V0410,2024-08-16 11:10:39.183645094,S,0.0002560239567548936
182,V0117,2024-08-16 11:10:49.537284341,P,0.00010064703067731769
67,V0304,2024-08-16 11:10:07.960885151,P,0.00022073064764927726
254,V0504,2024-08-16 11:11:20.544964591,S,5.998890629879932e-05
60,V0404,2024-08-16 11:10:05.993495698,S,6.254870358313396e-05
-1,V0808,2024-08-16 11:10:53.913774000,P,5.736616148783155e-05
-1,V0506,2024-08-16 11:09:41.543216000,S,5.469848362814275e-05
294,V0811,2024-08-16 11:11:36.131209850,S,0.00018087056964561228
18,V0417,2024-08-16 11:09:49.437873568,P,5.1896951128371964e-05
131,V0505,2024-08-16 11:10:31.726298536,P,0.0006925323083002646
-1,V0809,2024-08-16 11:11:37.170724000,P,0.00013161209414354222
-1,V0802,2024-08-16 11:11:03.278379000,P,3.3228581480998796e-05
273,V0407,2024-08-16 11:11:28.719919475,P,4.396766174315095e-05
274,V0508,2024-08-16 11:11:28.733686065,P,0.0001695062594820228
17,V0506,2024-08-16 11:09:48.320318168,S,0.00018350040121022356
20,V0307,2024-08-16 11:09:50.058093413,P,0.00012136490495523469
83,V0417,2024-08-16 11:10:15.338403927,P,0.0001891144205345803
141,V0505,2024-08-16 11:10:36.660140480,S,0.0008316197697276804
-1,V0502,2024-08-16 11:11:34.135182000,P,2.6109640001059416e-05
188,V0412,2024-08-16 11:10:52.732755993,P,0.0005964396605174227
-1,V0509,2024-08-16 11:10:08.802880000,S,2.4521178498915215e-05
55,V0802,2024-08-16 11:10:02.785179377,P,3.878686592870965e-05
31,V0309,2024-08-16 11:09:53.774667616,P,4.798578853291362e-05
112,V0402,2024-08-16 11:10:24.102323475,P,5.847966112436083e-05
138,V0404,2024-08-16 11:10:34.823392378,S,9.594572977673376e-05
-1,V0408,2024-08-16 11:10:51.614799000,P,6.153746593900381e-05
176,V0306,2024-08-16 11:10:47.437656802,S,4.305254928993442e-05
-1,V0409,2024-08-16 11:11:20.140187000,P,4.401035628321416e-05
263,V0506,2024-08-16 11:11:22.567996262,P,0.00017167463662797885
198,V0117,2024-08-16 11:10:55.265495562,P,4.684055383639524e-05
158,V0811,2024-08-16 11:10:41.147178349,S,4.628744569221574e-05
43,V0310,2024-08-16 11:09:59.422166448,S,5.1192071618452956e-05
269,V0809,2024-08-16 11:11:26.515499012,S,0.00015738391283530993
52,V0506,2024-08-16 11:10:02.283060528,S,0.0002552633096561605
-1,V0109,2024-08-16 11:09:53.659165000,S,0.00011364905884904106
-1,V0109,2024-08-16 11:10:46.295487000,S,7.334037021954302e-05
-1,V0402,2024-08-16 11:11:27.823217000,P,9.857619297702605e-05
110,V0408,2024-08-16 11:10:22.929081824,P,6.834917634572457e-05
41,V0408,2024-08-16 11:09:59.185561997,S,5.548324350701597e-05
253,V0808,2024-08-16 11:11:19.671246195,P,6.220465923240508e-05
1,V0812,2024-08-16 11:09:40.919870811,P,9.630304692308665e-05
8,V0508,2024-08-16 11:09:44.332330654,S,0.00010168909862409296
198,V0504,2024-08-16 11:10:55.265492003,P,0.00017947119995200586
-1,V0109,2024-08-16 11:10:59.071177000,P,2.6660372345827367e-05
156,V0412,2024-08-16 11:10:40.271306226,S,4.109328497825135e-05
274,V0414,2024-08-16 11:11:28.733691240,S,9.06865595394966e-05
254,V0302,2024-08-16 11:11:20.544976766,S,6.594571132597607e-05
65,V0412,2024-08-16 11:10:07.630889211,P,0.0005425134051290246
231,V0508,2024-08-16 11:11:08.895689524,S,6.429323106076945e-05
277,V0808,2024-08-16 11:11:28.949767867,S,0.00012520195077853785
189,V0414,2024-08-16 11:10:53.024098485,P,0.00014282874506115043
290,V0502,2024-08-16 11:11:33.147048746,P,0.00011170766194624216
102,V0417,2024-08-16 11:10:19.997322979,P,4.303333130685292e-05
-1,V0502,2024-08-16 11:10:02.827951000,S,6.78055953885013e-05
-1,V0104,2024-08-16 11:09:56.205226000,P,3.934908878277167e-05
-1,V0811,2024-08-16 11:10:23.663322000,P,9.437754874392008e-05
197,V0502,2024-08-16 11:10:55.201103673,P,6.918011767776026e-05
238,V0409,2024-08-16 11:11:10.942061887,S,0.00022238352101719758
19,V0504,2024-08-16 11:09:49.678836909,S,0.0001576315095534019
264,V0810,2024-08-16 11:11:23.037833915,S,0.00024660183640766426
-1,V0506,2024-08-16 11:09:43.198560000,P,0.0003013433048070401
289,V0703,2024-08-16 11:11:33.006460446,S,6.865286600758622e-05
268,V0306,2024-08-16 11:11:24.855946009,P,0.0002090931370904036
245,V0811,2024-08-16 11:11:14.755737283,S,9.308589352584611e-05
-1,V0509,2024-08-16 11:10:54.805795000,P,0.00015107101795864894
-1,V0402,2024-08-16 11:10:16.292915000,S,0.0015988572051747348
33,V0306,2024-08-16 11:09:54.293459041,S,4.7788848811985574e-05
-1,V0417,2024-08-16 11:09:54.734580000,S,0.00045324193141124957
193,V0417,2024-08-16 11:10:54.259065041,P,5.21949189989556e-05
127,V0414,2024-08-16 11:10:30.553138896,S,7.5462968994202e-05
267,V0308,2024-08-16 11:11:24.550141589,S,3.3587961097860716e-05
206,V0809,2024-08-16 11:10:58.436472466,P,0.00012646984582041676
-1,V0811,2024-08-16 11:11:13.863995000,P,9.3815253256429e-05
102,V0808,2024-08-16 11:10:19.997318860,P,0.00013950111246274985
42,V0509,2024-08-16 11:09:59.392077960,S,0.00010645566463713324
102,V0810,2024-08-16 11:10:19.997341160,S,4.255008278716918e-05
146,V0807,2024-08-16 11:10:37.649689572,S,0.0001879780175419849
230,V0309,2024-08-16 11:11:08.556178199,S,4.3013278445504775e-05
-1,V0407,2024-08-16 11:10:27.635312000,P,2.651965252947264e-05
76,V0805,2024-08-16 11:10:12.925542775,S,0.00010983740321817074
66,V0808,2024-08-16 11:10:07.649006906,S,0.00010011593060627665
-1,V0310,2024-08-16 11:11:05.220262000,S,0.00020318373310079427
-1,V0812,2024-08-16 11:09:39.860701000,P,7.166479407357511e-05
52,V0807,2024-08-16 11:10:02.283059711,P,0.00014535527205509466
31,V0308,2024-08-16 11:09:53.774659744,P,3.725384722357144e-05
93,V0302,2024-08-16 11:10:18.640104968,S,6.052063789451952e-05
13,V0302,2024-08-16 11:09:46.864382530,S,0.00018721617634552234
94,V0808,2024-08-16 11:10:18.720082681,S,0.00020401329909819086
228,V0811,2024-08-16 11:11:08.158869074,P,0.00010115925788306264
-1,V0508,2024-08-16 11:09:59.634236000,P,3.029480902006582e-05
15,V0309,2024-08-16 11:09:47.435303663,P,0.00012792781513039643
-1,V0414,2024-08-16 11:10:31.523216000,S,0.0003062212443710964
298,V0402,2024-08-16 11:11:37.376535689,S,4.151927682863465e-05
282,V0702,2024-08-16 11:11:30.188195210,P,4.0902179260498077e-05
-1,V0404,2024-08-16 11:10:42.461549000,P,3.1696399406692835e-05
276,V0509,2024-08-16 11:11:28.914366677,S,0.000176329057364955
-1,V0105,2024-08-16 11:11:00.753577000,P,0.00010405528728710057
68,V0504,2024-08-16 11:10:08.167428714,S,8.487340668319827e-05
-1,V0809,2024-08-16 11:09:44.606742000,S,8.925533818563225e-05
-1,V0808,2024-08-16 11:10:40.559203000,S,0.00016856128333982988
105,V0305,2024-08-16 11:10:21.173847853,P,0.00014875889697605374
11,V0505,2024-08-16 11:09:45.782541025,S,0.00026618741525428395
260,V0504,2024-08-16 11:11:21.653889504,S,4.834653686733973e-05
288,V0807,2024-08-16 11:11:32.967244910,S,0.00011552077470746572
29,V0409,2024-08-16 11:09:52.258292205,S,0.0002911028152957029
159,V0117,2024-08-16 11:10:41.368795242,P,9.785971189585803e-05
30,V0305,2024-08-16 11:09:52.933645599,S,8.339386585008361e-05
66,V0310,2024-08-16 11:10:07.649013650,S,4.583430047587167e-05
-1,V0812,2024-08-16 11:10:27.614437000,S,0.00018366635667134881
88,V0306,2024-08-16 11:10:16.862264965,P,0.00013860498938685303
254,V0809,2024-08-16 11:11:20.544955642,S,0.0004097488087088478
252,V0508,2024-08-16 11:11:19.616131904,P,5.3590569253000674e-05
117,V0414,2024-08-16 11:10:25.407589959,P,4.5578755385856564e-05
23,V0303,2024-08-16 11:09:50.571571232,S,7.914141483044414e-05
160,V0506,2024-08-16 11:10:42.642205827,P,0.00011168097762047684
82,V0807,2024-08-16 11:10:15.274158776,S,0.0001485002059734714
-1,V0105,2024-08-16 11:11:27.990680000,P,0.000144662176397597
65,V0307,2024-08-16 11:10:07.630906213,S,3.927007340354938e-05
109,V0403,2024-08-16 11:10:21.656539236,P,0.00017494809053390532
98,V0504,2024-08-16 11:10:19.259668154,P,0.00040802954493309254
-1,V0117,2024-08-16 11:10:26.448890000,P,0.0010648593356561687
-1,V0409,2024-08-16 11:10:16.202896000,P,0.00015158857031100155
-1,V0810,2024-08-16 11:11:17.924916000,P,0.0005470461233890181
-1,V0510,2024-08-16 11:10:40.431080000,P,0.00011114306324872137
-1,V0504,2024-08-16 11:09:57.531230000,S,0.0004542591567112559
70,V0506,2024-08-16 11:10:08.650923301,P,0.00021717220212862331
-1,V0807,2024-08-16 11:10:41.257506000,S,0.0006228846606387016
276,V0308,2024-08-16 11:11:28.914364961,S,7.133516596881372e-05
-1,V0812,2024-08-16 11:09:46.125607000,P,0.00013049638682990426
175,V0703,2024-08-16 11:10:47.281411800,P,0.00015839235390094196
-1,V0308,2024-08-16 11:10:43.857709000,S,0.00045712894431188867
4,V0305,2024-08-16 11:09:41.778220134,S,0.00036920233334234733
217,V0407,2024-08-16 11:11:04.094050083,P,0.00010222049215264674
2,V0408,2024-08-16 11:09:41.322435937,S,3.602344395287909e-05
146,V0409,2024-08-16 11:10:37.649691469,S,0.0002264540830352373
229,V0308,2024-08-16 11:11:08.161144024,S,5.987620428631913e-05
-1,V0807,2024-08-16 11:10:51.201322000,S,6.897846120096547e-05
-1,V0808,2024-08-16 11:10:27.664624000,S,7.270096995317325e-05
253,V0811,2024-08-16 11:11:19.671250726,P,4.1264309372630124e-05
-1,V0302,2024-08-16 11:10:41.001767000,S,0.0001387454198623656
-1,V0509,2024-08-16 11:10:00.385608000,S,7.07811651741847e-05
128,V0807,2024-08-16 11:10:30.967598397,S,0.0002273484218842421
63,V0505,2024-08-16 11:10:07.407609937,P,8.209774608625743e-05
22,V0306,2024-08-16 11:09:50.484740335,S,3.8750427004789024e-05
-1,V0402,2024-08-16 11:10:48.605947000,S,0.0007097469694790794
-1,V0702,2024-08-16 11:09:39.899577000,S,6.279384904061994e-05
107,V0303,2024-08-16 11:10:21.333696213,S,0.0005779412689265391
55,V0510,2024-08-16 11:10:02.785174272,P,5.620485062984165e-05
80,V0505,2024-08-16 11:10:14.747415111,P,0.0007686707126558221
121,V0506,2024-08-16 11:10:26.840004548,S,3.378754874062872e-05
13,V0805,2024-08-16 11:09:46.864373603,S,0.00029035575943651444
215,V0807,2024-08-16 11:11:03.969461471,P,5.367395150533967e-05
24,V0302,2024-08-16 11:09:50.890501194,P,4.5095506341839565e-05
60,V0505,2024-08-16 11:10:05.993479207,S,0.0023957389509201123
267,V0509,2024-08-16 11:11:24.550133159,S,9.944516972632751e-05
106,V0808,2024-08-16 11:10:21.286103857,P,4.1713556637995766e-05
-1,V0407,2024-08-16 11:11:39.790781000,P,0.00025791149465034487
-1,V0417,2024-08-16 11:09:44.107699000,P,2.9985186697943582e-05
294,V0412,2024-08-16 11:11:36.131202340,P,0.0002526476171850026
60,V0505,2024-08-16 11:10:05.993478766,P,0.0023957389509201123
152,V0508,2024-08-16 11:10:39.641134348,S,8.092507942017701e-05
48,V0304,2024-08-16 11:10:01.225484533,P,0.00011308103308899932
217,V0117,2024-08-16 11:11:04.094051138,P,7.738656112081274e-05
-1,V0502,2024-08-16 11:09:47.793477000,S,0.00015267432861240183
247,V0505,2024-08-16 11:11:16.795944445,P,0.0005412230002871071
-1,V0102,2024-08-16 11:11:33.729538000,S,0.00022166472166717765
82,V0504,2024-08-16 11:10:15.274157907,S,0.00016655158945648145
190,V0302,2024-08-16 11:10:53.308191457,P,5.804068175881846e-05
-1,V0408,2024-08-16 11:09:41.103236000,S,0.00016732594262342296
162,V0504,2024-08-16 11:10:43.062783217,S,0.0001539173128245689
-1,V0506,2024-08-16 11:10:20.510705000,P,0.0001095569974913091
38,V0109,2024-08-16 11:09:57.807922202,P,3.461442464647529e-05
168,V0308,2024-08-16 11:10:45.052416214,P,5.5866230075486274e-05
50,V0509,2024-08-16 11:10:01.660442945,P,3.5743995220944406e-05
95,V0509,2024-08-16 11:10:18.789969329,S,8.133632466190743e-05
-1,V0409,2024-08-16 11:09:47.876996000,S,6.289942431337683e-05
113,V0802,2024-08-16 11:10:24.746824640,S,3.655325403487739e-05
64,V0509,2024-08-16 11:10:07.432396277,P,0.00011529055641757729
110,V0505,2024-08-16 11:10:22.929075718,P,6.14397541739392e-05
255,V0409,2024-08-16 11:11:20.628432918,P,8.801688350609372e-05
-1,V0810,2024-08-16 11:11:37.307525000,S,2.3248388931618406e-05
177,V0414,2024-08-16 11:10:47.929185241,P,0.0004144749262876071
74,V0807,2024-08-16 11:10:11.354082006,S,3.387714494356895e-05
75,V0812,2024-08-16 11:10:12.194393653,S,6.120105599125285e-05
-1,V0407,2024-08-16 11:11:17.130188000,S,0.0011088508580129961
-1,V0104,2024-08-16 11:11:32.361659000,P,2.275304664161338e-05
8,V0506,2024-08-16 11:09:44.332333022,S,0.00047417417364358384
198,V0508,2024-08-16 11:10:55.265493189,P,0.00011687520219589095
228,V0302,2024-08-16 11:11:08.158872160,P,5.4082927540049936e-05
232,V0417,2024-08-16 11:11:09.473329019,P,0.00014811070368539627
-1,V0809,2024-08-16 11:09:54.712375000,P,4.479201592181556e-05
118,V0303,2024-08-16 11:10:25.469699855,S,8.563059746237098e-05
96,V0305,2024-08-16 11:10:19.114563521,P,0.000172498331844351
125,V0303,2024-08-16 11:10:29.927147611,P,0.00023094512994197757
207,V0408,2024-08-16 11:11:00.560032742,S,9.039376527150247e-05
158,V0109,2024-08-16 11:10:41.147181052,S,5.451233468074443e-05
193,V0408,2024-08-16 11:10:54.259071534,S,0.0001081008877489572
-1,V0805,2024-08-16 11:10:31.858394000,S,8.559609245465465e-05
-1,V0407,2024-08-16 11:11:14.206034000,P,7.22197933192136e-05
25,V0811,2024-08-16 11:09:51.279301360,S,9.094673055178507e-05
-1,V0810,2024-08-16 11:10:07.479681000,S,0.0001224117147817302
-1,V0504,2024-08-16 11:10:55.192259000,S,0.0001239164906640991
95,V0414,2024-08-16 11:10:18.789958213,P,7.36775868134315e-05
-1,V0102,2024-08-16 11:10:55.231458000,P,0.00011741877960199545
132,V0414,2024-08-16 11:10:32.115914597,P,6.771020958459329e-05
276,V0811,2024-08-16 11:11:28.914358283,S,0.00012030276575341191
-1,V0403,2024-08-16 11:10:39.251767000,S,0.0006617046886782857
293,V0812,2024-08-16 11:11:34.385371770,S,4.108722974783008e-05
265,V0117,2024-08-16 11:11:23.067563479,S,7.382615949121286e-05
210,V0805,2024-08-16 11:11:02.765153513,S,0.00025818661078148966
32,V0302,2024-08-16 11:09:53.775861281,S,3.7972086168129376e-05
144,V0408,2024-08-16 11:10:37.465691248,P,4.923236877144187e-05
206,V0808,2024-08-16 11:10:58.436475684,S,0.00022543005811839585
185,V0506,2024-08-16 11:10:51.677480932,S,9.982023970594542e-05
-1,V0809,2024-08-16 11:10:40.107849000,S,5.787893411305831e-05
0,V0306,2024-08-16 11:09:40.780814805,S,9.714629220825394e-05
130,V0505,2024-08-16 11:10:31.390316138,P,3.37487801415439e-05
225,V0410,2024-08-16 11:11:07.772272136,P,0.00034267953304647494
140,V0404,2024-08-16 11:10:36.639854300,P,0.00010025543079615225
57,V0811,2024-08-16 11:10:04.265897920,P,0.0009129893424273154
82,V0703,2024-08-16 11:10:15.274158299,P,4.7088124779814425e-05
133,V0407,2024-08-16 11:10:32.775109618,P,5.41245040936151e-05
4,V0105,2024-08-16 11:09:41.778241507,P,0.00011415388821952983
19,V0303,2024-08-16 11:09:49.678832958,P,0.00015160871144800643
-1,V0102,2024-08-16 11:10:56.339270000,P,0.0008894046751291322
247,V0308,2024-08-16 11:11:16.795958654,S,6.616011797389784e-05
248,V0407,2024-08-16 11:11:17.424547368,S,8.181362451603407e-05
68,V0506,2024-08-16 11:10:08.167432342,S,7.259789385075002e-05
197,V0807,2024-08-16 11:10:55.201112325,S,0.00019565086702108049
-1,V0104,2024-08-16 11:10:00.900679000,S,9.80688557501763e-05
290,V0808,2024-08-16 11:11:33.147051226,P,6.881115033795762e-05
92,V0805,2024-08-16 11:10:17.938561127,P,3.316978790524927e-05
228,V0412,2024-08-16 11:11:08.158866030,P,0.000264438632433734
214,V0502,2024-08-16 11:11:03.316323600,S,3.256318210588891e-05
-1,V0104,2024-08-16 11:10:30.163732000,S,5.0106401789530525e-05
202,V0805,2024-08-16 11:10:56.393636114,P,0.00036311440007062967
142,V0302,2024-08-16 11:10:36.907694876,P,0.000429192407906409
-1,V0807,2024-08-16 11:10:39.369031000,S,0.000291407630102018
79,V0414,2024-08-16 11:10:13.532836354,S,6.125592035581007e-05
112,V0407,2024-08-16 11:10:24.102324023,S,0.0001540792309766083
138,V0802,2024-08-16 11:10:34.823377602,P,9.485917167978929e-05
187,V0811,2024-08-16 11:10:52.371270607,S,3.7857340933472216e-05
108,V0508,2024-08-16 11:10:21.556547545,S,7.677342217771825e-05
-1,V0702,2024-08-16 11:09:59.409892000,P,0.0001292286797909252
-1,V0407,2024-08-16 11:10:51.378764000,P,9.122546309176294e-05
24,V0506,2024-08-16 11:09:50.890502788,S,0.00019700953839992818
58,V0409,2024-08-16 11:10:04.344287528,P,7.268808245731221e-05
209,V0703,2024-08-16 11:11:02.617847962,P,3.311872287549608e-05
294,V0117,2024-08-16 11:11:36.131204434,S,0.0005364264677056976
294,V0109,2024-08-16 11:11:36.131217778,S,8.843989782880245e-05
-1,V0306,2024-08-16 11:11:02.115425000,P,0.00010956705491096301
-1,V0109,2024-08-16 11:10:48.297330000,S,0.00018558794612683993
219,V0410,2024-08-16 11:11:04.206120720,S,0.00012584377558864132
255,V0811,2024-08-16 11:11:20.628449460,S,6.0147414036718544e-05
-1,V0117,2024-08-16 11:10:48.227448000,S,0.00014537616491462442
276,V0414,2024-08-16 11:11:28.914346790,P,0.00023528860618657593
184,V0809,2024-08-16 11:10:51.191229051,P,0.000306110594452248
213,V0308,2024-08-16 11:11:03.298143952,P,6.228815839320816e-05
30,V0417,2024-08-16 11:09:52.933644760,S,7.684735919644187e-05
125,V0510,2024-08-16 11:10:29.927170706,S,7.770913433151442e-05
119,V0811,2024-08-16 11:10:26.312790539,P,5.644368903259761e-05
-1,V0117,2024-08-16 11:10:15.238913000,P,3.422959093665124e-05
141,V0508,2024-08-16 11:10:36.660153171,S,5.4795081471723465e-05
223,V0412,2024-08-16 11:11:06.565324939,P,0.00011226900703923755
110,V0407,2024-08-16 11:10:22.929081218,P,3.451086151478633e-05
118,V0510,2024-08-16 11:10:25.469700084,S,4.42848562164918e-05
-1,V0117,2024-08-16 11:10:52.462535000,P,0.0001318015102199658
13,V0109,2024-08-16 11:09:46.864376551,P,4.5195662073796534e-05
131,V0505,2024-08-16 11:10:31.726303436,S,0.0006925323083002646
162,V0310,2024-08-16 11:10:43.062793416,P,3.242781378283051e-05
17,V0304,2024-08-16 11:09:48.320322365,S,9.739372558690125e-05
260,V0303,2024-08-16 11:11:21.653880256,P,0.0002559006053283199
-1,V0102,2024-08-16 11:11:23.335942000,S,7.4941432431337e-05
-1,V0704,2024-08-16 11:10:19.603253000,P,0.00016052447029062325
193,V0403,2024-08-16 11:10:54.259077727,P,3.8391809808433465e-05
237,V0302,2024-08-16 11:11:10.807994063,S,3.745352397516388e-05
232,V0402,2024-08-16 11:11:09.473360088,S,4.15003739472962e-05
143,V0807,2024-08-16 11:10:37.198913580,S,0.0005761914955961512
-1,V0704,2024-08-16 11:11:06.045507000,P,0.00022461404934717545
208,V0809,2024-08-16 11:11:02.563913800,P,9.414806864842828e-05
41,V0508,2024-08-16 11:09:59.185559735,S,0.00036356043579846803
161,V0409,2024-08-16 11:10:42.795469158,S,4.6358133253689894e-05
218,V0303,2024-08-16 11:11:04.105735076,P,9.145605956288152e-05
76,V0109,2024-08-16 11:10:12.925546313,S,5.4022019060915686e-05
197,V0304,2024-08-16 11:10:55.201098217,P,0.0018474904939599268
-1,V0309,2024-08-16 11:11:28.054126000,P,2.401070209338204e-05
229,V0809,2024-08-16 11:11:08.161137376,P,0.00011262984782860701
87,V0305,2024-08-16 11:10:16.417517279,P,8.949882625764844e-05
104,V0807,2024-08-16 11:10:20.966335474,P,9.439627580060811e-05
140,V0409,2024-08-16 11:10:36.639845033,P,0.0003166031045889337
15,V0402,2024-08-16 11:09:47.435331902,S,5.140889767366295e-05
174,V0808,2024-08-16 11:10:46.597383167,S,0.00017352150969280445
33,V0409,2024-08-16 11:09:54.293449511,P,0.00011732586467703746
